Lema;Frases;Categoria Gramatical;Categoria Gramatical Simple;Numero de silabas;Grupo tematico;Frecuencia Absoluta;Frecuencia Normalizada;Tipo de signo;Iconicidad;Planos Inicial;Planos Final;Localizacion facial/corporal Inicial;Localizacion facial/corporal Final;Puntos de contacto;PC Meñique;PC Anular;PC Corazon;PC Indice;PC Pulgar;PC Mano;Mano activa inicial;Mano activa inicial orientacion;Mano pasiva inicial;Mano pasiva inicial orientacion;Mano activa intermedio;Mano activa intermedio orientacion;Mano pasiva intermedio;Mano pasiva intermedio orientacion;Mano activa final;Mano activa final orientacion;Mano pasiva final;Mano pasiva final orientacion;Articulador;Articulador Codo;Articulador Dedos;Articulador Hombro;Articulador Muñeca;Movimiento de trayectoria;Cambio de configuracion;N_Cambio de configuracion;Cambio de orientacion;N_Cambio de orientacion;Desde;Hasta;Velocidad;Contacto;Momento de contacto;Repeticion;Producciones del movimiento;Ojos;Mejillas;Cejas;Boca;Cabeza;Hombros;N_Videos;Imagen Mano Activa Inicial;Imagen Mano Activa Inicial Orientacion;Imagen Mano Pasiva Inicial;Imagen Mano Pasiva Inicial Orientacion;Imagen Mano Activa Intermedio;Imagen Mano Activa Intermedio Orientacion;Imagen Mano Pasiva Intermedio;Imagen Mano Pasiva Intermedio Orientacion;Imagen Mano Activa Final;Imagen Mano Activa Final Orientacion;Imagen Mano Pasiva Final;Imagen Mano Pasiva Final Orientacion;Imagen Ojos;Imagen Mejillas;Imagen Cejas;Imagen Boca;Imagen Cabeza;Imagen Hombros;video;numero
1/7/02 0:00;true;Frase;Frase;1;tiempo;3392;22,23;monomanual;No iconico;1;1;Cara media;Cara media;4 Dedos;1;1;1;1;0;0;52.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;52.0;5.0;0.0;0.0;Codo;1;0;0;0;Recto;No;1;Vibr;3;def;def;Normal;Fijo;entero;desconocido;1;Normales;Normales;Normales;vocalizar;Normales;Normales;0;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/52.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/5.jpg;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/52.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/5.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-03-Ojos-abiertos.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;desconocido;desconocido;desconocido;desconocido;0
False;false;Nombre propio;Sustantivo;2;caracteristicas;3392;22,23;monomanual;No iconico;1;1;Tronco;Tronco;Mano;0;0;0;0;0;1;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;Codo y Hombro;1;0;1;0;Arco ;No;1;No;1;def;def;Normal;Golpe;mov;rep. unica;2;Normales;Normales;Normales;vocalizar;No;Normales;0;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/4.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/4.jpg;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/4.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/4.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-03-Ojos-abiertos.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cabeza-01-No.jpg;desconocido;desconocido;0
a;false;Preposicion;Preposicion;1;abecedario;3260939;21375,03;monomanual;No iconico;2;2;Espacio neutro;Espacio neutro;No tiene;0;0;0;0;0;0;1.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;0.0;Hombro;0;0;1;0;Recto;No;1;No;1;def;def;Normal;No tiene;No tiene;desconocido;1;Normales;Normales;Normales;abrierta;Normales;Normales;1;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/1.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/9.jpg;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/1.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/9.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-03-Ojos-abiertos.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/boca-11-muy-abierta.jpg;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/13515.mp4;13515
a gruñir;true;Frase;Frase;1;miscelanea;3392;22,23;desconocido;desconocido;4;4;Espacio neutro;Espacio neutro;Desconocido;2;2;2;2;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Codo y Hombro;1;0;1;0;Recto;No;1;No;1;def;def;Normal;Desconocido;Desconocido;desconocido;1;Normales;Normales;Normales;vocalizar;Normales;Normales;1;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/19047.mp4;19047
a la maquina de aserrar;true;Frase;Frase;1;miscelanea;3392;22,23;desconocido;desconocido;4;4;Espacio neutro;Espacio neutro;Desconocido;2;2;2;2;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Codo y Hombro;1;0;1;0;Recto;No;1;No;1;def;def;Normal;Desconocido;Desconocido;desconocido;1;Normales;Normales;Normales;vocalizar;Normales;Normales;1;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/19229.mp4;19229
a montar;true;Frase;Frase;1;miscelanea;3392;22,23;desconocido;desconocido;4;4;Espacio neutro;Espacio neutro;Desconocido;2;2;2;2;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Codo y Hombro;1;0;1;0;Recto;No;1;No;1;def;def;Normal;Desconocido;Desconocido;desconocido;1;Normales;Normales;Normales;vocalizar;Normales;Normales;1;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/19211.mp4;19211
a salvo;true;Frase;Frase;1;miscelanea;3392;22,23;desconocido;desconocido;4;4;Espacio neutro;Espacio neutro;Desconocido;2;2;2;2;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Codo y Hombro;1;0;1;0;Recto;No;1;No;1;def;def;Normal;Desconocido;Desconocido;desconocido;1;Normales;Normales;Normales;vocalizar;Normales;Normales;1;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/12611.mp4;12611
a sonar;true;Frase;Frase;1;miscelanea;3392;22,23;desconocido;desconocido;4;4;Espacio neutro;Espacio neutro;Desconocido;2;2;2;2;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Codo y Hombro;1;0;1;0;Recto;No;1;No;1;def;def;Normal;Desconocido;Desconocido;desconocido;1;Normales;Normales;Normales;vocalizar;Normales;Normales;1;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/19043.mp4;19043
abadia;false;Nombre comun (singular);Sustantivo;2;lugares;565;3,7;bimanual sucesivas;Parte entidad figurada;2;1;Dedos;Espacio neutro;1 Dedo;0;0;1;0;0;0;48.0;5.0;48.0;30.0;22.0;49.0;22.0;48.0;22.0;2.0;22.0;28.0;Muñeca y Codo;1;0;0;1;Arco ;Si;2;Si;2;def;def;Normal;Toque;inicial;contenida;1;Algo cerrados;Normales;Normales;vocalizar;Normales;Normales;0;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/48.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/5.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/48.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/30.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/22.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/49.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/22.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/48.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/22.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/2.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/22.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/28.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-01-Entornarse-los-parpados.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;desconocido;desconocido;desconocido;desconocido;0
abajo;false;Adverbio (general);Adverbio;1;miscelanea;11985;78,56;desconocido;desconocido;4;4;Espacio neutro;Espacio neutro;Desconocido;2;2;2;2;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Codo y Hombro;1;0;1;0;Recto;No;1;No;1;def;def;Normal;Desconocido;Desconocido;desconocido;1;Normales;Normales;Normales;vocalizar;Normales;Normales;1;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/14088.mp4;14088
abandonar;true;Frase;Frase;1;miscelanea;6301;41,3;bimanual simultaneas;No iconico;1;2;Espacio neutro;Espacio neutro;No tiene;0;0;0;0;0;0;59.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;59.0;16.0;0.0;0.0;Codo y Hombro;1;0;1;0;Recto;No;1;No;1;def;def;Lento;No tiene;No tiene;desconocido;1;Algo cerrados;Algo hinchadas;Normales;lengua fuera;Bajada;Normales;0;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/59.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/16.jpg;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/59.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/16.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-01-Entornarse-los-parpados.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/mejillas-01-Inflarse-los-carrillos-1.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cabeza-07-Bajarse-la-cabeza.jpg;desconocido;desconocido;0
abdicar;false;Verbo (principal, infinitivo);Verbo;2;acciones;128;0,83;bimanual simultaneas;Entidad entera trazada;1;2;Cara superior;Mixto;2 Dedos;0;0;0;1;1;0;16.0;26.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;26.0;0.0;0.0;Codo y Hombro;1;0;1;0;Con forma de 7 ;No;1;No;1;def;indef;Normal;Toque;mov;desconocido;1;Muy abiertos;Normales;Normales;vocalizar;Atras;Normales;0;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/16.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/26.jpg;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/16.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/26.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-04-Ojos-muy-abiertos.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cabeza-04-Inclinarse-la-cabeza-hacia-atras.jpg;desconocido;desconocido;0
abecedario;false;Nombre comun (singular);Sustantivo;3;abecedario;113;0,74;monomanual;No iconico;2;2;Espacio neutro;Espacio neutro;No tiene;0;0;0;0;0;0;1.0;9.0;0.0;0.0;48.0;9.0;0.0;0.0;54.0;4.0;0.0;0.0;Muñeca, Codo y Hombro;1;0;1;1;Recto;Si;2;Si;2;def;def;Normal;No tiene;No tiene;desconocido;1;Algo cerrados;Normales;Normales;abrierta;Normales;Normales;0;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/1.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/9.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/48.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/9.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/54.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/4.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-01-Entornarse-los-parpados.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/boca-11-muy-abierta.jpg;desconocido;desconocido;desconocido;0
abeja;false;Nombre comun (singular);Sustantivo;1;animales;320;2,09;monomanual;No iconico;2;2;Espacio neutro;Espacio neutro;No tiene;0;0;0;0;0;0;19.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;16.0;0.0;0.0;Codo;1;0;0;0;Mix;No;1;No;1;def;def;Normal;No tiene;No tiene;contenida;1;Algo cerrados;Normales;Normales;vocalizar;Normales;Normales;1;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/19.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/16.jpg;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/19.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/16.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-01-Entornarse-los-parpados.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;desconocido;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/14322.mp4;14322
aberracion;false;Adjetivo (descriptivo);Adjetivo;1;caracteristicas;375;2,45;monomanual;No iconico;2;1;Espacio neutro;Cara;No tiene;0;0;0;0;0;0;79.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;59.0;2.0;0.0;0.0;Muñeca y Codo;1;0;0;1;Recto;Si;2;Si;2;def;def;Normal;No tiene;No tiene;desconocido;1;Algo cerrados;Normales;Normales;vibrar;No;Normales;0;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/79.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/17.jpg;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/59.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/2.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-01-Entornarse-los-parpados.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/boca-29-p-vibracion__desaparecer.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cabeza-01-No.jpg;desconocido;desconocido;0
abeto;false;Nombre comun (singular);Sustantivo;2;naturaleza;138;0,9;bimanual sucesivas;Parte entidad trazada;2;2;Espacio neutro;Tronco;No tiene;0;0;0;0;0;0;53.0;4.0;0.0;0.0;57.0;5.0;0.0;0.0;56.0;5.0;0.0;0.0;Dedos y Hombro;0;1;1;0;Recto;Si;2;Si;2;def;def;Normal;No tiene;No tiene;rep. unica;2;Normales;Normales;Normales;vocalizar;Normales;Normales;1;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/53.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/4.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/57.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/5.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/56.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/5.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-03-Ojos-abiertos.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;desconocido;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/12379.mp4;12379
abierto;false;Adjetivo (descriptivo);Adjetivo;1;caracteristicas;10661;69,88;desconocido;desconocido;4;4;Espacio neutro;Espacio neutro;Desconocido;2;2;2;2;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Codo y Hombro;1;0;1;0;Recto;No;1;No;1;def;def;Normal;Desconocido;Desconocido;desconocido;1;Normales;Normales;Normales;vocalizar;Normales;Normales;1;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/13119.mp4;13119
ablandar;false;Verbo (principal, infinitivo);Verbo;1;acciones;115;0,75;bimanual simultaneas;Accion;2;2;Espacio neutro;Espacio neutro;No tiene;0;0;0;0;0;0;53.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;57.0;5.0;0.0;0.0;Dedos;0;1;0;0;Recto;Si;2;No;1;def;def;Normal;No tiene;No tiene;rep. unica;2;Algo cerrados;Algo hinchadas;Normales;lengua fuera;Normales;Normales;0;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/53.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/5.jpg;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/57.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/5.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-01-Entornarse-los-parpados.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/mejillas-01-Inflarse-los-carrillos-1.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/boca-19-lengua-floja-morder__blando.jpg;desconocido;desconocido;desconocido;0
abofetear;false;Verbo (principal, infinitivo);Verbo;2;acciones;38;0,24;monomanual;Accion;2;2;Espacio neutro;Espacio neutro;No tiene;0;0;0;0;0;0;50.0;4.0;0.0;0.0;0.0;9.0;0.0;0.0;50.0;8.0;0.0;0.0;Muñeca y Codo;1;0;0;1;Con forma de 7 ;No;1;Si;2;indef;indef;Normal;No tiene;No tiene;rep. unica;2;Algo cerrados;Normales;Normales;abrir y cerrar;Normales;Normales;0;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/50.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/4.jpg;desconocido;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/9.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/50.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/8.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-01-Entornarse-los-parpados.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;desconocido;desconocido;desconocido;desconocido;0
abogado;false;Nombre comun (singular);Sustantivo;1;profesion;8983;58,88;monomanual;No iconico;1;1;Espacio neutro;Tronco;3 Dedos;0;0;1;1;1;0;43.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;43.0;9.0;0.0;0.0;Codo;1;0;0;0;Recto;No;1;No;1;def;def;Normal;Toque;final;contenida;1;Normales;Normales;Normales;vocalizar;Normales;Normales;0;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/43.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/9.jpg;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/43.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/9.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-03-Ojos-abiertos.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;desconocido;desconocido;desconocido;desconocido;0
abonar;true;Frase;Frase;1;miscelanea;580;3,8;bimanual (activa + pasiva misma config.);No iconico;2;2;Espacio neutro;Dedos;1 Dedo;0;0;0;1;0;0;6.0;26.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;26.0;0.0;0.0;Codo y Hombro;1;0;1;0;Recto;No;1;No;1;def;def;Normal;Toque;mov;contenida;1;Normales;Normales;Normales;vocalizar;Normales;Normales;0;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/6.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/26.jpg;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/6.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/26.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-03-Ojos-abiertos.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;desconocido;desconocido;desconocido;desconocido;0
